----------------------- Page 1-----------------------

abandon            v./n.放弃；放纵                                            分拆联想：a+band(乐队)+on→一个乐队在演出→放纵  
ecologist           n.生态学家，生态学者                                             词根记忆：eco(家)+logist→研究地球之家的人→生态学家 
economical          a.经济的，节约的                                               无 
ecstasy             n.狂喜；激情状态                                               词根记忆：ec( 出)+stasy(站住)→(高兴得)出群→狂喜 
ecstatic            a.狂喜的，心花怒放的                                             无 
eddy                n.漩涡，涡流                                                 无 
edifice             n.宏伟的建筑(如宫殿、教堂)                                         和edify(启发)一起记 
edify               v.陶冶，启发                                                 词根记忆：ed(吃)+ify(表示动作)→吃下去→启发，陶冶 
efface              v.擦掉，抹去                                                 词根记忆：ef+face(脸，表面)→去掉表面→擦掉 
effervesce          v.冒泡；热情洋溢                                               词根记忆：ef( 出)+ferv(热)+esce→释放出热力→热情洋溢 
effete              a.无生产力；虚弱的                                              词根记忆：ef( 出)+fete(=fetus胎儿)→不再出胎儿→不生育的 
efficacy            n.功效，有效性                                                词根记忆：ef( 出)+fic(做)+acy→做出了成绩→功效，有效性 
effluvia            n.气味，恶臭；废料                                              为effluvium 的复数 
effrontery          n.厚颜无耻                                                  词根记忆：ef+front(脸，面)+ery→不要脸面→厚颜无耻 
effulgent           a.灿烂的                                                   词根记忆：ef+fulg( 闪亮)+ent→闪亮的→灿烂的 
egalitarian         a.主张人人平等的                                               egalit(平等)+arian→平均主义的，该词等于equalitarian(平均主义的) 
egocentric          a.利己的                                                   词根记忆：ego(我)+centr( 中心)+ic→以自我为中心的 
egotist             n.自私自利者                                                 ego(我，自己)+t+ist→以自我为中心的人→自私自利者 
egregious           a.(缺点等)过分的，惊人的                                          词根记忆：e( 出)+greg( 团体)+ious→超出一般人→过分的 
egress              n.出去，出口                                                 词根记忆：e+gress(走)→走出去 
elaborate           a.精致的，复杂的；v.详尽地说明，阐明                                    词根记忆：e+labor(劳动)+ate→(努力)劳动出来的→精致的 
elaboration         n.详细的细节，详尽阐述                                            无 
elated              a.得意洋洋的，振奋的                                             词根记忆：e+lat(放)+ed→放出(高兴神态)→得意洋洋的 
elbow               n.肘                                                     分拆联想：el+bow( 弓)→手臂在肘部呈弓形 
elegy               n.哀歌，挽歌                                                 分拆联想：e( 出)+leg(腿)+y→悲伤得迈不动步→哀歌 
elementary          a.初级的                                                   无 
elephantine         a.笨拙的，庞大的                                               来自elephant(n.大象) 
elevate             v.将„举起                                                  词根记忆：e( 出)+lev(举起)+ate→举起 
elicit              v.引出，探出                                                 词根记忆：e( 出)+licit(引导)→引导出；注意不要和illicit(不合法的)相混 
eligible            a.合格的                                                   词根记忆：e+lig(=lect选择)+ible→能够选出来的→合格的 
eliminate           v.除去，淘汰                                                 词根记忆：e+limin( 门槛)+ate→扔出门槛→除去 
elite               n.精华，中坚                                                 e+lite(=lig选择)→选出来的→精华 
ellipsis            n.省略                                                    词根记忆：el( 出)+lipsis(离开)→离去→省略 
elliptical          a.椭圆的；晦涩的；省略的                                           无 
elocution           n.演说术                                                   词根记忆：e+locu(说)+tion→说出去→演讲术 
elongate            v.延长，伸长                                                 词根记忆：e+long(长)+ate→长出去→伸长 
eloquence           n.雄辩，精彩演讲                                               词根记忆：e+loqu(说)+ence→能说→雄辩 
elucidate           v.阐明，说明                                                 e+lucid(清晰)+ate→弄清晰→阐明 
elude               v.逃避；搞不清                                                词根记忆：e+lude(玩弄)→通过玩弄出去→逃避 

                                                                            词根记忆：e( 出)＋lus(看作lust光)＋ive→没有灵光出来的→难懂的；和exclusive(排外 
elusive             a.难懂的                                                   的，唯一的)一起记→曲高和寡，唯一的 
emaciate            v.使„瘦弱；消瘦                                               词根记忆：e+maci(瘦)+ate→瘦出去→使„瘦弱 
emanate             v.散发，发出，发源                                              词根记忆：e( 出)+man(手)+ate→用手散发，发出 
emancipate          v.解放，解除                                                 词根记忆：e+man(手)+cip(落下)+ate→把手(从锁链中)放下→解放 
embargo             n.禁运令，封港令                                               分拆联想：em+bar(阻挡)+go(去)→阻拦(船等)进入→禁运令 

----------------------- Page 29-----------------------

embarrass          v.使忸怩，使难堪                                              词根记忆：em(进入)+barrass(套子)→进入套子→使难堪 
embed              v.牢牢插入，嵌于                                              em(进入)+bed(床)→深深进入内部→牢牢插入 
embellish          v.装饰，润饰                                                词根记忆：em+bell(美)+ish→使„美→装饰 
embezzlement       n.贪污，盗用                                                联想记忆：em+bezzle(看作bezzant金银币)+ment→将金钱据为己有→贪污，侵吞 
emblematic         a.作为象征的                                                无 
embody             v.(作品等)表达，体现                                           em+body(身体)→(思想)进入身体→体现 
embolden           v.鼓励                                                   em+bold(大胆)+en→使人大胆 
emboss             v.加浮雕花纹于，使凸出                                           词根记忆：em+boss( 凸出)→使凸出；boss(老板，肚子通常是凸出的) 
embrace            v.拥抱；包含                                                词根记忆：em(进入)+brace(胳膊)→进入怀抱 
embroider          v.刺绣，修饰                                                em+broider(刺绣) 
emend              v.订正，校订                                                词根记忆：e+mend(改正)→改出来→订正 
emergency          n.紧急事件                                                 注意不要和emergence( 出现)相混 

                                                                          注意：emigrate表示移出，immigrate表示移入，migrate指动物或人来回迁移，都来 
emigrate           v.自本国移居他国                                              自词根migr(移动) 
eminence           n.卓越，杰出                                                无 
eminent            a.著名的，显著的                                              词根记忆：e+min(突出)+ent→突出来→著名的 
emissary           n.密使；特使                                                词根记忆：e+miss(送)+ary→送出去的人→特使 
emit               v.放射(光、热、味等)                                           词根记忆：e+mit(送)→送出→放出(味道等) 
emollient          n.润肤剂                                                  词根记忆：e+moll(=soft软)+ient→使(皮肤)变软→润肤剂 
emote              v.激动地表达感情                                              词根记忆：e+mote(动)→感动地说出来 
empathy            n.心意相通，(感情等)融为一体                                       词根记忆：em+pathy(感情)→进入感情 
emphatic           a.重视的，强调的                                              来自emphasis(强调) 
empirical          a.经验的，实证的                                              来自empiric，原指单凭经验而行医的医生；分拆记忆：empir(=empire帝国)+ical 
empiricism         n.经验主义                                                 无 
empower            v.授权给某人采取行动                                            em(进入)+power(权力)→进入权力的状态→拥有权力 
empyreal           a.天空的                                                  无 
emulate            v.努力赶上或超越                                              词根记忆：emul(竞争)+ate 
emulsify           v.使乳化                                                  词根记忆：e+muls(=milk乳)+ify→乳化 
enact              v.制定(法律)；扮演(角色)                                        词根记忆：en(进入)+act(行动)→使(法律)行动→颁布(法律) 
enamel             n.珐琅，瓷釉                                                分拆记忆：e+name(名字)+l→用瓷釉写上名字 
enamored           a.珍爱的，喜爱的                                              词根记忆：en+amor(爱)+ed→进入爱意 
encapsulate        v.装入胶囊；压缩                                              来自capsule(胶囊)，en+capsule+ate 
enchant            v.使迷醉；施魔法于                                             词根记忆：en+chant(唱歌)→(巫婆)唱歌以施魔法 
enclosure          n.圈地，围占                                                分拆联想：en+clos(=close)+ure→进入围绕状态 
encomiast          n.赞美者                                                  分拆联想：en+com(看作come)+iast→有目的而来的人→赞美者 
encomium           n.赞颂，颂辞                                                分拆联想：en(进来)+com(=come来)+ium→进来说好话 
encompass          v.包围，围绕                                                分拆记忆：en+compass(罗盘，范围)→进入范围→包围 
encounter          v.遭遇                                                   无 
encroach           v.侵占，蚕食                                                词根记忆：en(进入)+croach(钩)→钩进去→侵占；注意croch=croach(钩) 
encumber           v.妨害，阻碍                                                en+cumber(妨碍)→妨害 
encyclopedia       n.百科全书                                                 分拆联想：en+cyclo(看作cycle全套)+ped(儿童)+ia→为儿童提供全套教育→百科全书 
endearing          a.讨人喜欢的                                                en+dear(喜爱)+ing→进入被喜爱的状态→讨人喜欢的 
endemic            a.地方性的                                                 词根记忆：en+dem(人民)+ic→在人民之内→地方性的 
endorse            v.背书；赞同                                                词根记忆：en+dorse(背)→在背后签字 
endow              v.资助，捐助                                                无 
endure             v.忍受，忍耐                                                词根记忆：en(进入)+dure(持久，坚硬)→进入持久→耐久 
enduring           a.持续的                                                  无 
enervate           v.使虚弱，使无力                                              词根记忆：e+nerv(力量；神经)+ate→力量出去→使„无力 
enfeeble           v.使衰弱                                                  分拆记忆：en(使)+feeble(虚弱的) 
enfetter           v.给„上脚镣；束缚，使受制于                                        en(进入)+fetter(镣铐)→给„上脚镣 
enflame            v.使愤怒或激动                                               分拆联想：en(进入)+flame(燃烧)→进入燃烧→怒火冲天 
engaged            a.忙碌的，使用中的                                             无 
engaging           a.迷人的，美丽动人的                                            来自engage(v.吸引) 
engender           v.产生，引起                                                en+gender(产生；性别)→使产生 
engrave            v.在(硬物)上雕刻                                             无 
engross            v.全神贯注于                                                分拆联想：en+gross(总的；粗壮的)→全部进入状态→入迷 
engulf             v.吞噬                                                   分拆记忆：en(进入)+gulf(大沟)→吞噬 
enhance            v.提高，增加，改善                                             词根记忆：en(使„)+hance(高)→提高，增加 
enjoin             v.命令，吩咐                                                分拆记忆：en+join(参加)→使(别人)参加→命令 
enlighten          v.启发，开导，教导，授予„知识                                       分拆记忆：en(使„)+light(点亮)+en→启发，启迪 
enlightening       a.有启迪作用的；使人领悟的                                         无 
enlist             v.(使)入伍从军，征募                                           分拆记忆：en+list(名单)→进入(战士的)名单→入伍 
enliven            v.使„更活跃                                                无 

----------------------- Page 30-----------------------

enmesh             v.通常被动)绊住，陷入网                                        分拆记忆：en+mesh( 网)→进入网中，mesh本身是一个单词，意为“网眼，罗网” 
enmity             n.敌意，仇恨                                              来自enemy(n.敌人)；注意不要和amity(亲善)相混 
ennui              n.倦怠，无聊；v.使无聊                                        无 
enormity           n.极恶；暴行；巨大                                           分拆联想：e( 出)+norm(正常)+ity→出了正常状态→暴行，巨大 
enormous           a.极大的，巨大的                                            无 
enrage             v.激怒，触怒                                              分拆记忆：en(进入)+rage(狂怒)→进入狂怒→激怒 
enrapture          v.使狂喜，使高兴                                            分拆记忆：en+rapture(狂喜)→使狂喜 
ensconce           v.安置，安坐                                              分拆记忆：en+sconce(小堡垒，遮蔽)→进入遮盖→安置 
ensemble           n.全体；大合唱                                             词根记忆：en+semble(相同)→唱相同(的歌)→大合唱 
ensign             n.舰旗(船上表示所属国家的旗帜)                                    分拆记忆：en+sign(标志)，作为所属国家标志的旗帜 
ensue              v.继而发生                                               词根记忆：en(进入)+sue(跟从；起诉)→接着发生 
ensure             v.确保，担保                                              分拆记忆：en+sure(确定的)→进入确定→确保 
entail             v.需要，需求，必须                                           分拆联想：en+tail(尾巴)→被人抓住把柄→需要，要求 
entangle           v.使纠缠，卷入                                             en+tangle(纠缠，混乱) 
enterprise         n.公司，事业单位；进取心                                        无 
enthralling        a.迷人的，吸引人的                                           联想记忆：en+thrall(奴隶)+ing→成为(爱的)奴隶的→迷人的 
entice             v.怂恿，引诱                                              分拆联想：ent(看作enter进入)+ice(冰)→引诱人进入冰中 
entirety           n.整体，全面                                              来自entire(a.完整的) 
entitle            v.使有权(做某事)                                           无 
entity             n.实体，统一体                                             无 
entrance           v.使出神，使入迷                                            来自enter(v.进入) 
entreat            v.恳求                                                 分拆联想：en+treat(处理)→要求进入处理→恳求 
entreaty           n.恳求，哀求                                              来自entreat(v.恳求) 
entrée             n.正餐前的开胃菜；获准进入的权利                                    分拆联想：ent(看作ant蚂蚁)＋ree(看作tree树)→蚂蚁上树(菜名)→正餐前的开胃菜 
entrepreneur       n.企业家，创业人                                            来自法语，等于enterpriser 
entrust            v.委托；托付                                              分拆记忆：en+trust(相信)→给予信任→委托 
entry              n.条目；登录；报关手续；入口                                      无 
enumerate          v.列举，枚举                                              词根记忆：e+numer(数字)+ate→数字出来→列举 
enunciate          v.发音；(清楚地)表达                                         词根记忆：e+nunci(=nounce报告，说)+ate→说出来→发音，表达 
environ            v.包围，围绕                                              词根记忆：en+viron( 圆)→进入圆→包围，环绕 
envision           v.想象，预想                                              词根记忆：en ＋vis(看)＋ion→想象，预想 
enzyme             n.酵素，酶                                               来自希腊语，en(在„里)+zyme(发酵) 
epaulet            n.肩章，肩饰                                              分拆联想：e+paul(人名，保罗)+et(小)→保罗喜欢收集如肩章类的小玩意 
ephemeral          a.朝生暮死的；生命短暂的                                        词根记忆：e+phem( 出现)+eral→出现就消失→生命短暂的 
epic               n.叙事诗，史诗；a.英雄的；大规模的                                  无 
epicure            n.美食家                                                在古英语中有“享乐主义者”之意，来自希腊哲学家Epicurus(依壁鸠鲁)，主张享受 
                                                                        生活 

epidemic           a.传染性的，流行性的                                          词根记忆：epi(在„外)+dem(人民)+ic→在一群人之外→流行性的 
epidermis          n.表皮，外皮                                              词根记忆：epi(在„外)+derm(皮肤)+is→外皮 
epigram            n.讽刺短句，警句                                            词根记忆：epi(在„旁边)+gram(写)→旁敲侧击写的东西→讽刺短诗 
epilogue           n.收场白；尾声                                             词根记忆：epi(在„后)+logue(说话)→在后面说话→尾声 
episodic           a.偶然发生的，分散性的                                         来自episode(n.片断) 
epitaph            n.墓志铭                                                词根记忆：epi(在„上)+taph(=tomb墓)→在墓碑上刻的字→墓志铭 
epithet            n.(贬低人的)短语或形容词                                       词根记忆：epi(在„下)+thet(=put放)→(人)放到下面的话→贬低的语言 
epitome            n.典型；梗概                                              词根记忆：epi(在„后)+tome(一卷书)→在一卷书后的话→梗概，tome本身是一个单 
                                                                        词，意为“卷，册” 

epitomize          v.概括，摘要                                              无 
epoch              n.纪元；重大的事件                                           无 
equable            a.稳定的，不变的；(脾气)温和的                                    词根记忆：equ(平等)+able→能够平等的→稳定的 
equanimity         n.镇定，沉着                                              词根记忆：equ+anim(精神，生命)+ity→精神平静→沉着 
equate             v.认为„相等或相仿                                           词根记忆：equ(相等)+ate(表动词)→使平等 
equation           n.等式；等同，相等                                           无 
equator            n.赤道                                                 词根记忆：equ(相等)+ator→使(地球)平分→赤道 
equilibrium        n.平衡                                                 词根记忆：equi(平等)+libr(平衡)+ium→平衡 
equine             a.马的，似马的                                             参考equitation(n.骑马术) 
equity             n.公平，公正                                              无 

                                                                        词根记忆：equi(平等)+val(力量)+ent→力量平等的；注意不要和ambivalent(矛盾心理 
equivalent         a.相等的，等值的                                            的)相混 
equivocate         v.模棱两可地说，支吾其词，说谎                                     无 
eradicate          v.根除；扑灭                                              词根记忆：e( 出)+radic(根)+ate→根除 
erase              v.擦掉，抹去                                              词根记忆：e+rase(擦)→擦掉 
erasure            n.擦掉，擦痕                                              无 
erect              a.竖立的，笔直的，直立的                                        词根记忆：e+rect(竖，直)→竖立的，垂直的 
err                v.犯错误，出错                                             err本身就是词根，表示“漫游；犯错误”；如：error(n.错误) 

----------------------- Page 31-----------------------

errand            n.差使；差事                                              词根记忆：err(漫游)+and→跑来跑去的事情→差使 
erratic            a.反复无常的；古怪的                                         词根记忆：err(错)+atic→性格出错→反复无常的 
ersatz             a.代用的，假的                                            来自德语，直接引入英语使用 
erstwhile          a.从前的，过去的                                           词根记忆：erst( 以前，古时)+while(时间)→从前的，过去的 
erudite            a.博学的，饱学的                                           词根记忆：e( 出)+rud(原始，无知)+ite→走出无知→博学的 
erupt              v.爆发；喷出(熔岩、水、气体、泥浆等)                                词根记忆：e( 出)+rupt(断)→断裂后喷出→爆发 
escalate           v.(战争等)升级；扩大，上升                                     来自escalator(n. 电扶梯)，原来是自动电梯的商标 
escapism          n.逃避现实(的习气)                                          无 
eschew             v.避开，戒绝                                             分拆联想：es( 出)+chew(咀嚼，深思)→通过深思而去掉→戒绝 
esophagus         n.食道，食管                                              词根记忆：eso(带)+phag(吃)+us→带来吃的→食道，食管 
esoteric           a.秘传的；神秘的                                           分拆联想：es( 出)+oter(看作outer)+ic→不出外面的→秘传的 
espionage         n.间谍活动                                               来自法语：e+spion(=spy看)+age→出去看→间谍活动 
espousal          n.拥护，支持                                              分拆联想：e+spous(看作spouse配偶)+al→出来做配偶→拥护 
espouse            v.支持，拥护                                             无 
espy               v.(从远处等)突然看到                                        分拆联想：e+spy( 间谍，发现)→突然看到 
essential          a.本质的；n.要素，实质                                       词根记忆：ess(存在)+ential→存在的东西→要素，实质 
estimable          a.值得尊敬的；可估计的                                        来自动词esteem(v./n.尊敬)和estimate(v.估计) 
estranged          a.疏远的，分开的，分离的                                       分拆记忆：e+strange( 陌生的)+d→使„陌生的→疏远的，不和的 
etch               v.蚀刻)；铭记                                            注意不要和itch(搔痒)相混 
etching           n.蚀刻术；蚀刻板画                                           无 
eternal            a.永久的，永恒的                                           无 
ethereal           a.太空；轻巧的                                            来自ether(n.太空；苍天) 
ethics            n.伦理学；道德规范                                           无 
ethnic             a.种族的                                               词根记忆：ethn(种族)＋ic→种族的，民族的 
ethnology         n.人种学，人类文化学                                          词根记忆：ethn(种族)+ology(学科)→人种学 
ethos             n.(个人、团体或民族)道德风貌，思潮，信仰                               词根记忆：eth(=ethn种族)+os→种族气氛→民族精神 
etiquette         n.礼仪；礼节                                              词根记忆：e+tiquette(=ticket票)→凭票出入→礼节 
etymology         n.语源学                                                来自etymon(n.词源，词根) 
eulogistic         a.颂扬的，歌功颂德的                                         词根记忆：eu(好)+log(说)+istic→说好话的 
eulogize           v.称赞，颂扬                                             词根记忆：eu(好)+log(说)+ize→说好话 
eulogy            n.颂词，颂文                                              无 
euphemism         n.婉言，委婉的说法                                           词根记忆：eu(好)+phem( 出现)+ism→以好的语言出现→委婉的说法 
euphonious         a.悦耳的                                               词根记忆：eu+phon(声音)+ious→声音好听的 
euphoria          n.幸福愉快感                                              词根记忆：eu(好)+phor(带来)+ia(病)→带来好处的病→幸福感 
evacuate           v.撤退；撤离                                             词根记忆：e+vacu(空)+ate→空出去→撤离 
evade              v.逃避；规避                                             词根记忆：e+vade(走)→走出去→撤离 
evaluation        n.评价，评估                                              来自evalue(v.评价，评估) 
evanescent         a.迅速消失的，短暂的                                         词根记忆：e+van(空)+escent(开始„的)→出现就空了→短暂的 
evaporate          v.(使某物)蒸发掉                                          e( 出)+vapor(水汽)+ate→使水汽出来→蒸发 
evasion           n.躲避，借口                                              词根记忆：e( 出)+vas(走)+ion→走出去→躲避 
evasive            a.迥避的，逃避的，托辞的                                       来自evade(v.规避，躲避) 
even               a.平的                                                无 
evenhanded         a.公平的，不偏不倚的                                         组合词：even(平的)+hand(手)+ed→两手放得一样平→公平 
evict              v.(依法)驱逐                                            词根记忆：e+vict(征服)→把„征服出去→驱逐 
evince             v.表明，表示                                             词根记忆：e+vince(=vict征服)→用(事实)征服→表明(事实等) 
evocative          a.唤起的，激起的                                           无 
evoke              v.引起；唤起                                             词根记忆：e+voke(喊)→喊出来→唤起 
evolve             v.使逐渐形成，进化                                          词根记忆：e( 出)+volve(卷，转)→转出来→发展，进化 
ewe               n.母羊                                                 无 
ewer              n.大口水罐                                               无 
exacerbate         v.加重，恶化                                             词根记忆：ex+acerb(苦涩)+ate→出现了苦涩→恶化 
exact              a.精确的；v.强求，强索付款                                     无 
exacting           a.苛求的；要求严格的                                         无 
exactitude        n.极端的正确性或精确性                                         无 
exaggerate         v.夸张；夸大                                             词根记忆：ex( 出)+agger(堆积)+ate→越堆越高→夸张 
exalt              v.(高度)赞扬，歌颂                                         词根记忆：ex+alt(高)→评价高→赞扬 
exaltation        n.(成功带来的)得意，高兴                                       无 
exasperate         v.激怒，使恼怒                                            词根记忆：ex+asper(粗鲁)+ate→显出粗鲁→激怒 
excavate           v.挖掘；挖出                                             词根记忆：ex+cav(洞)+ate→挖出洞→挖掘 
exceed             v.超过；超出                                             词根记忆：ex+ceed(走)→走出去→超过 
exceptional        a.特别(好)的                                            无 
excess            n.过分，过度                                              词根记忆：ex+cess(走)→走出格→过分 
excise             v.切除，删去                                             词根记忆：ex+cise(切)→切出去→切除 

----------------------- Page 32-----------------------

excitability       n.易兴奋性，易激动性                                          无 
exclaim            v.惊叫，呼喊                                              词根记忆：ex( 出)+claim(呼喊)→惊叫，呼喊 
exclamation        n.惊叹词，惊呼                                             词根记忆：ex( 出)＋clam(喊，叫)＋ation→大声喊出来→惊叹，感叹 
exclude            v.排斥；排除                                              词根记忆：ex+clude(关闭)→关出去→排斥 
exclusive          a.(人)孤僻的；(物)专用的                                      无 
excoriate          v.撕去皮；严厉批评                                           词根记忆：ex+cor(=core核心)+iate→使核心出来→撕去皮；注意：尤其要记住“严厉 
                                                                        批评”一意 

excrete            v.排泄，分泌                                              词根记忆：ex+crete(分离)→分离出来→排泄 
exculpate          v.开脱，申明无罪                                            词根记忆：ex+culp(罪行)+ate→开脱罪行 
excursion          n.短途旅游                                               词根记忆：ex+curs(跑)+ion→跑出去→旅行 
excursive          a.离题的，随意的                                            词根记忆：ex( 出)+curs(跑，发生)+ive→(思想)跑出去→离题的 
execrable          a.极坏的                                                无 
execrate           v.憎恶；咒骂                                              来自拉丁文exsecratus ，ex+secrat(神圣)+us→走出了神圣→咒骂 
execute            v.执行，履行；将某人处死                                        词根记忆：ex+ecu(看作secu跟随)+te→跟随下去→执行下去 
exemplary          a.可作楷模的                                              来自example(n.榜样) 
exemplify          v.是„的典型                                              无 
exempt             a.被免除的；v.使免除                                         词根记忆：ex+empt(拿，买)→拿出去→被免除的 
exert              v.运用(力量等)                                            词根记忆：ex+ert(力量)→出力 
exhale             v.呼出(气)                                              词根记忆：ex( 出)+hale(气)→呼出(气) 
exhaust            n.(机器排出的)废气，蒸气；v.使非常疲倦                               无 
exhaustive         a.彻底的，无遗漏的                                           无 
exhilarate         v.使高兴                                                词根记忆：ex+hilar(高兴)+ate→使(人)高兴 
exhilaration       n.高兴，活跃                                              无 
exhort             v.力劝，勉励                                              词根记忆：ex+hort(=incite激励)→激励出来→力劝 
exigent            a.需要立即采取行动的                                          无 
existential        a.有关存在的，存在主义的                                        来自exist(v.存在) 
exodus             n.大批离去，成群外出                                          分拆联想：exo(外面)+d+us(我们)→我们走到外面去 
exonerate          v.免除责任；确定无罪                                          词根记忆：ex+oner(负担)+ate→走出负担→无罪 
exorbitant         a.过分的，过度的                                            词根记忆：ex+orbit(轨道，常规)+ant→走出常规→过分的 
exorcise           v.驱魔；去除(坏念头等)                                        词根记忆：ex+orc(看作sorc巫术)+ise→用巫术赶出→驱邪 
exotic             a.珍奇的；来自异国的                                          词根记忆：exo(外面)+tic→外面来的 
expand             v.扩大，膨胀                                              词根记忆：ex+pand(分散)→分散出去→扩大 

expansive          a.(指人)健谈的，开朗的；可扩大的，可伸展的                              无 

expediency         n.方便；权宜之计                                            词根记忆：ex+ped(脚)+iency→把脚拔出去→权宜之计 
expedient          n.权宜之计，临时手段；a.(指行动)有用的                               无 
expeditious        a.迅速的，敏捷的                                            来自expedite(v.使加速，促进) 
expel              v.排出；开除                                              词根记忆：ex+pel(推)→向外推→开除 
expend             v.花费；用光                                              无 
expenditure        n.消耗，支出                                              无 
expertise          n.专门技术，专业知识                                          分拆记忆：expert(专家)+ise→专家的知识 
expiate            v.赎罪，补偿                                              词根记忆：ex+pi(=pious虔诚)+ate→显出虔诚→赎罪 
expiration         n.期满，终止                                              无 
expire             v.期满；去世                                              词根记忆：ex+pire(看作spire呼吸)→出了呼吸→去世 
explicate          v.详细解说                                               无 
explicit           a.清楚明确的                                              词根记忆：ex+plic(重叠)+it→把重叠在一起的弄清楚 
exploit            v.剥削；开发利用；n.英勇行为                                     词根记忆：ex+ploit(利用)→利用出来→开发利用 
explosive          n.炸药；a.爆炸性的；使人冲动的                                    无 
exponent           n.说明者，支持者；指数                                         词根记忆：ex+pon(放)+ent→把(道理等)放出来的人→说明者 
exponentially      adv.指数地；迅速增长地                                        词根记忆：exponent(指数)+ially→指数地；迅速增长地 
exposition         n.阐释；博览会                                             词根记忆：ex+pos(放)+ition→放出来(让人看)→阐明；博览会 
expository         a.说明的                                                无 
expostulate        v.(对人或行为进行)抗议，告诫                                     词根记忆：ex+post(后面)+ulate→(别人做出一件事后提出的)抗议 
exposure           n.暴露，显露，曝光                                           词根记忆：ex( 出)+pos(放)+ure→放出来→暴露，显露 
expound            v.解释；阐述                                              词根记忆：ex+pound(放)→把(道理)放出来→解释 
expressly          adv.清楚地；特意地                                          来自express(v.表达；a.特别的) 
expunge            v.删除                                                 词根记忆：ex+punge(刺)→把刺挑出→删除 

                                                                        词根记忆：ex+purg(清洗)+ate→清洗掉→使纯洁；注意：expunge指删除无用的字、 
expurgate          v.删除；使纯洁                                             章节等；expurgate指删除书中不恰当的地方 
exquisite          a.精致的；近乎完美的                                          词根记忆：ex+quisit(要求，寻求)+e→按要求做出的→精致的 
extant             a.现存的，传世的                                            词根记忆：ex+tant(看作stand站)→站出来→现存的 
extemporaneous     a.即席的，没有准备的                                          词根记忆：ex(外)+tempor(时间)+aneous→在安排的时间之外的→即席的，无准备的 
extemporize        v.即席演说                                               词根记忆：ex+tempor(时间)+ize→不在(安排的)时间之内→即席演说 
extend             v.延展，延长                                              词根记忆：ex( 出)+tend(伸展)→伸出去→延展 

----------------------- Page 33-----------------------

extenuate         v.掩饰(罪行)，减轻罪过                                       词根记忆：ex+tenu(细薄)+ate→使„微不足道→掩饰(罪行) 
exterminate       v.消灭，灭绝                                             词根记忆：ex+termin(范围，结束)+ate→从范围中出去→消灭 
externalize       v.使„表面化                                             无 
extinct           a.绝种的，不存在的                                          词根记忆：ex+tinct(刺，促使)→使„失去→绝种的 
extinguish        v.使„熄灭；使„不复存在                                       词根记忆：ex( 出)+ting(看作sting刺)+uish→把刺拿出去→刺引申为火焰→灭火 
extirpation       n.根除，铲除                                             来自extirpate(v.消灭，根除) 
extol             v.赞美                                                词根记忆：ex+tol(举起)→举起来→赞美 
extort                                                                词根记忆：ex+tort(扭)→扭出来→强索 
extract           v.拔出；强索                                             词根记忆：ex( 出)+tract(拉)→拉出→拔出 
extraneous        a.外来的；无关的                                           词根记忆：extran(外面)+eous→外来的 
extrapolate       v.预测，推测                                             词根记忆：extra(外面)+pol(放)+ate→放出想法→推测 
extravagance      n.奢侈，挥霍                                             词根记忆：extra+vag(走)+ance→走得过分→奢侈 
extremist         n.极端主义者                                             无 
extricable        a.可解救的，能脱险的                                         无 
extricate         v.拯救，救出                                             词根记忆：ex+tric(复杂，迷惑)+ate→从复杂中出来→救出 
extrovert         n.性格外向者                                             词根记忆：extro(外)+vert(转)→向外转的人→性格外向者 
exuberance        n.愉快；茁壮                                             来自exuberant(a.茁壮的，繁茂的) 
exuberant         a.(人)充满活力的(植物)茂盛的                                   词根记忆：ex( 出)+uber(=udder乳房，引申为果实)+ant→出果实的→充满活力的 
exude             v.使慢慢流出；四溢                                          词根记忆：ex+ud(看作sud汗)+e→出汗→慢慢流出 
exult             v.欢腾，喜悦                                             词根记忆：ex+ult(看作sult激动，跳)→欢腾 
fabric            n.纺织品；结构                                            无 
fabricate         v.捏造；制造                                             词根记忆：fabric(构造)+ate→构造出来→捏造 
facade            n. 建筑物的正面；(虚伪)外表                                    词根记忆：fac(=face正面)+ade→正面 
facet             n.(宝石等的)小平面；侧面                                      无 
facetious         a.轻浮的，好开玩笑的                                         分拆联想：face(脸)+tious→做鬼脸→好开玩笑的 
facile            a.容易做的；肤浅的                                          词根记忆：fac(做)+ile(能„的)→能做的→容易的 
facilitate        v.使容易，促进                                            无 
facilities        n.(使事情便利的)设备、工具                                     无 
faction           n.派系；派系斗争                                           无 
factorable        a.能分解成因子的                                           来自factor(n. 因素)+able 
